,Unit Process Name,Variable,Value,Metric,Unit,Case Study,Scenario
34,sw_onshore_intake,chloride,1.916,Waste Constituent Density,kg/m3,santa_barbara,baseline
35,sw_onshore_intake,chloride,5.925,Inlet Constituent Total Mass,kg,santa_barbara,baseline
36,sw_onshore_intake,chloride,5.925,Outlet Constituent Total Mass,kg,santa_barbara,baseline
37,sw_onshore_intake,chloride,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
38,sw_onshore_intake,magnesium,1.278,Inlet Constituent Density,kg/m3,santa_barbara,baseline
39,sw_onshore_intake,magnesium,1.278,Outlet Constituent Density,kg/m3,santa_barbara,baseline
40,sw_onshore_intake,magnesium,0.128,Waste Constituent Density,kg/m3,santa_barbara,baseline
41,sw_onshore_intake,magnesium,0.395,Inlet Constituent Total Mass,kg,santa_barbara,baseline
42,sw_onshore_intake,magnesium,0.395,Outlet Constituent Total Mass,kg,santa_barbara,baseline
43,sw_onshore_intake,magnesium,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
44,sw_onshore_intake,potassium,0.395,Inlet Constituent Density,kg/m3,santa_barbara,baseline
45,sw_onshore_intake,potassium,0.395,Outlet Constituent Density,kg/m3,santa_barbara,baseline
46,sw_onshore_intake,potassium,0.04,Waste Constituent Density,kg/m3,santa_barbara,baseline
47,sw_onshore_intake,potassium,0.122,Inlet Constituent Total Mass,kg,santa_barbara,baseline
48,sw_onshore_intake,potassium,0.122,Outlet Constituent Total Mass,kg,santa_barbara,baseline
49,sw_onshore_intake,potassium,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
50,sw_onshore_intake,sodium,10.679,Inlet Constituent Density,kg/m3,santa_barbara,baseline
51,sw_onshore_intake,sodium,10.68,Outlet Constituent Density,kg/m3,santa_barbara,baseline
52,sw_onshore_intake,sodium,1.068,Waste Constituent Density,kg/m3,santa_barbara,baseline
53,sw_onshore_intake,sodium,3.302,Inlet Constituent Total Mass,kg,santa_barbara,baseline
54,sw_onshore_intake,sodium,3.302,Outlet Constituent Total Mass,kg,santa_barbara,baseline
55,sw_onshore_intake,sodium,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
56,sw_onshore_intake,strontium,0.001,Inlet Constituent Density,kg/m3,santa_barbara,baseline
57,sw_onshore_intake,strontium,0.001,Outlet Constituent Density,kg/m3,santa_barbara,baseline
58,sw_onshore_intake,strontium,0.0,Waste Constituent Density,kg/m3,santa_barbara,baseline
59,sw_onshore_intake,strontium,0.0,Inlet Constituent Total Mass,kg,santa_barbara,baseline
60,sw_onshore_intake,strontium,0.0,Outlet Constituent Total Mass,kg,santa_barbara,baseline
61,sw_onshore_intake,strontium,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
62,sw_onshore_intake,sulfate,2.68,Inlet Constituent Density,kg/m3,santa_barbara,baseline
63,sw_onshore_intake,sulfate,2.68,Outlet Constituent Density,kg/m3,santa_barbara,baseline
64,sw_onshore_intake,sulfate,0.268,Waste Constituent Density,kg/m3,santa_barbara,baseline
65,sw_onshore_intake,sulfate,0.829,Inlet Constituent Total Mass,kg,santa_barbara,baseline
66,sw_onshore_intake,sulfate,0.829,Outlet Constituent Total Mass,kg,santa_barbara,baseline
67,sw_onshore_intake,sulfate,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
68,sw_onshore_intake,tds,35.0,Inlet Constituent Density,kg/m3,santa_barbara,baseline
69,sw_onshore_intake,tds,35.003,Outlet Constituent Density,kg/m3,santa_barbara,baseline
70,sw_onshore_intake,tds,3.5,Waste Constituent Density,kg/m3,santa_barbara,baseline
71,sw_onshore_intake,tds,10.822,Inlet Constituent Total Mass,kg,santa_barbara,baseline
72,sw_onshore_intake,tds,10.822,Outlet Constituent Total Mass,kg,santa_barbara,baseline
73,sw_onshore_intake,tds,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
74,ferric_chloride_addition,Electricity Intensity,0.0,Electricity,kwh/m3,santa_barbara,baseline
78,ferric_chloride_addition,Total Capital Investment (TCI),1.648,Cost,$MM,santa_barbara,baseline
79,ferric_chloride_addition,Catalysts and Chemicals,0.249,Annual Cost,$MM/yr,santa_barbara,baseline
80,ferric_chloride_addition,Electricity,0.0,Annual Cost,$MM/yr,santa_barbara,baseline
81,ferric_chloride_addition,Other Variable Operating,0.0,Annual Cost,$MM/yr,santa_barbara,baseline
87,ferric_chloride_addition,Fixed Operating,0.022,Annual Cost,$MM/yr,santa_barbara,baseline
90,ferric_chloride_addition,Annual O&M Costs,0.271,Annual Cost,$MM/yr,santa_barbara,baseline
91,ferric_chloride_addition,Inlet Water,0.309,Water Flow,m3/s,santa_barbara,baseline
92,ferric_chloride_addition,Outlet Water,0.309,Water Flow,m3/s,santa_barbara,baseline
93,ferric_chloride_addition,Waste Water,0.0,Water Flow,m3/s,santa_barbara,baseline
94,ferric_chloride_addition,bromide,0.066,Inlet Constituent Density,kg/m3,santa_barbara,baseline
95,ferric_chloride_addition,bromide,0.066,Outlet Constituent Density,kg/m3,santa_barbara,baseline
96,ferric_chloride_addition,bromide,0.007,Waste Constituent Density,kg/m3,santa_barbara,baseline
97,ferric_chloride_addition,bromide,0.02,Inlet Constituent Total Mass,kg,santa_barbara,baseline
98,ferric_chloride_addition,bromide,0.02,Outlet Constituent Total Mass,kg,santa_barbara,baseline
99,ferric_chloride_addition,bromide,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
100,ferric_chloride_addition,calcium,0.41,Inlet Constituent Density,kg/m3,santa_barbara,baseline
101,ferric_chloride_addition,calcium,0.41,Outlet Constituent Density,kg/m3,santa_barbara,baseline
102,ferric_chloride_addition,calcium,0.041,Waste Constituent Density,kg/m3,santa_barbara,baseline
103,ferric_chloride_addition,calcium,0.127,Inlet Constituent Total Mass,kg,santa_barbara,baseline
104,ferric_chloride_addition,calcium,0.127,Outlet Constituent Total Mass,kg,santa_barbara,baseline
105,ferric_chloride_addition,calcium,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
106,ferric_chloride_addition,chloride,19.164,Inlet Constituent Density,kg/m3,santa_barbara,baseline
107,ferric_chloride_addition,chloride,19.165,Outlet Constituent Density,kg/m3,santa_barbara,baseline
108,ferric_chloride_addition,chloride,1.916,Waste Constituent Density,kg/m3,santa_barbara,baseline
109,ferric_chloride_addition,chloride,5.925,Inlet Constituent Total Mass,kg,santa_barbara,baseline
110,ferric_chloride_addition,chloride,5.925,Outlet Constituent Total Mass,kg,santa_barbara,baseline
111,ferric_chloride_addition,chloride,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
112,ferric_chloride_addition,magnesium,1.278,Inlet Constituent Density,kg/m3,santa_barbara,baseline
113,ferric_chloride_addition,magnesium,1.278,Outlet Constituent Density,kg/m3,santa_barbara,baseline
114,ferric_chloride_addition,magnesium,0.128,Waste Constituent Density,kg/m3,santa_barbara,baseline
115,ferric_chloride_addition,magnesium,0.395,Inlet Constituent Total Mass,kg,santa_barbara,baseline
116,ferric_chloride_addition,magnesium,0.395,Outlet Constituent Total Mass,kg,santa_barbara,baseline
117,ferric_chloride_addition,magnesium,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
118,ferric_chloride_addition,potassium,0.395,Inlet Constituent Density,kg/m3,santa_barbara,baseline
119,ferric_chloride_addition,potassium,0.395,Outlet Constituent Density,kg/m3,santa_barbara,baseline
120,ferric_chloride_addition,potassium,0.04,Waste Constituent Density,kg/m3,santa_barbara,baseline
121,ferric_chloride_addition,potassium,0.122,Inlet Constituent Total Mass,kg,santa_barbara,baseline
122,ferric_chloride_addition,potassium,0.122,Outlet Constituent Total Mass,kg,santa_barbara,baseline
123,ferric_chloride_addition,potassium,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
124,ferric_chloride_addition,sodium,10.68,Inlet Constituent Density,kg/m3,santa_barbara,baseline
125,ferric_chloride_addition,sodium,10.681,Outlet Constituent Density,kg/m3,santa_barbara,baseline
126,ferric_chloride_addition,sodium,1.068,Waste Constituent Density,kg/m3,santa_barbara,baseline
127,ferric_chloride_addition,sodium,3.302,Inlet Constituent Total Mass,kg,santa_barbara,baseline
128,ferric_chloride_addition,sodium,3.302,Outlet Constituent Total Mass,kg,santa_barbara,baseline
129,ferric_chloride_addition,sodium,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
130,ferric_chloride_addition,strontium,0.001,Inlet Constituent Density,kg/m3,santa_barbara,baseline
131,ferric_chloride_addition,strontium,0.001,Outlet Constituent Density,kg/m3,santa_barbara,baseline
132,ferric_chloride_addition,strontium,0.0,Waste Constituent Density,kg/m3,santa_barbara,baseline
133,ferric_chloride_addition,strontium,0.0,Inlet Constituent Total Mass,kg,santa_barbara,baseline
134,ferric_chloride_addition,strontium,0.0,Outlet Constituent Total Mass,kg,santa_barbara,baseline
135,ferric_chloride_addition,strontium,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
136,ferric_chloride_addition,sulfate,2.68,Inlet Constituent Density,kg/m3,santa_barbara,baseline
137,ferric_chloride_addition,sulfate,2.68,Outlet Constituent Density,kg/m3,santa_barbara,baseline
138,ferric_chloride_addition,sulfate,0.268,Waste Constituent Density,kg/m3,santa_barbara,baseline
139,ferric_chloride_addition,sulfate,0.829,Inlet Constituent Total Mass,kg,santa_barbara,baseline
140,ferric_chloride_addition,sulfate,0.829,Outlet Constituent Total Mass,kg,santa_barbara,baseline
141,ferric_chloride_addition,sulfate,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
142,ferric_chloride_addition,tds,35.003,Inlet Constituent Density,kg/m3,santa_barbara,baseline
143,ferric_chloride_addition,tds,35.006,Outlet Constituent Density,kg/m3,santa_barbara,baseline
144,ferric_chloride_addition,tds,3.5,Waste Constituent Density,kg/m3,santa_barbara,baseline
145,ferric_chloride_addition,tds,10.822,Inlet Constituent Total Mass,kg,santa_barbara,baseline
146,ferric_chloride_addition,tds,10.822,Outlet Constituent Total Mass,kg,santa_barbara,baseline
147,ferric_chloride_addition,tds,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
148,chlorination,Electricity Intensity,0.0,Electricity,kwh/m3,santa_barbara,baseline
152,chlorination,Total Capital Investment (TCI),5.206,Cost,$MM,santa_barbara,baseline
153,chlorination,Catalysts and Chemicals,0.035,Annual Cost,$MM/yr,santa_barbara,baseline
154,chlorination,Electricity,0.0,Annual Cost,$MM/yr,santa_barbara,baseline
155,chlorination,Other Variable Operating,0.0,Annual Cost,$MM/yr,santa_barbara,baseline
161,chlorination,Fixed Operating,0.069,Annual Cost,$MM/yr,santa_barbara,baseline
164,chlorination,Annual O&M Costs,0.104,Annual Cost,$MM/yr,santa_barbara,baseline
165,chlorination,Inlet Water,0.309,Water Flow,m3/s,santa_barbara,baseline
166,chlorination,Outlet Water,0.309,Water Flow,m3/s,santa_barbara,baseline
167,chlorination,Waste Water,0.0,Water Flow,m3/s,santa_barbara,baseline
168,chlorination,bromide,0.066,Inlet Constituent Density,kg/m3,santa_barbara,baseline
169,chlorination,bromide,0.066,Outlet Constituent Density,kg/m3,santa_barbara,baseline
170,chlorination,bromide,0.007,Waste Constituent Density,kg/m3,santa_barbara,baseline
171,chlorination,bromide,0.02,Inlet Constituent Total Mass,kg,santa_barbara,baseline
172,chlorination,bromide,0.02,Outlet Constituent Total Mass,kg,santa_barbara,baseline
173,chlorination,bromide,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
174,chlorination,calcium,0.41,Inlet Constituent Density,kg/m3,santa_barbara,baseline
175,chlorination,calcium,0.41,Outlet Constituent Density,kg/m3,santa_barbara,baseline
176,chlorination,calcium,0.041,Waste Constituent Density,kg/m3,santa_barbara,baseline
177,chlorination,calcium,0.127,Inlet Constituent Total Mass,kg,santa_barbara,baseline
178,chlorination,calcium,0.127,Outlet Constituent Total Mass,kg,santa_barbara,baseline
179,chlorination,calcium,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
180,chlorination,chloride,19.165,Inlet Constituent Density,kg/m3,santa_barbara,baseline
181,chlorination,chloride,19.167,Outlet Constituent Density,kg/m3,santa_barbara,baseline
182,chlorination,chloride,1.917,Waste Constituent Density,kg/m3,santa_barbara,baseline
183,chlorination,chloride,5.925,Inlet Constituent Total Mass,kg,santa_barbara,baseline
184,chlorination,chloride,5.925,Outlet Constituent Total Mass,kg,santa_barbara,baseline
185,chlorination,chloride,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
186,chlorination,magnesium,1.278,Inlet Constituent Density,kg/m3,santa_barbara,baseline
187,chlorination,magnesium,1.278,Outlet Constituent Density,kg/m3,santa_barbara,baseline
188,chlorination,magnesium,0.128,Waste Constituent Density,kg/m3,santa_barbara,baseline
189,chlorination,magnesium,0.395,Inlet Constituent Total Mass,kg,santa_barbara,baseline
190,chlorination,magnesium,0.395,Outlet Constituent Total Mass,kg,santa_barbara,baseline
191,chlorination,magnesium,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
192,chlorination,potassium,0.395,Inlet Constituent Density,kg/m3,santa_barbara,baseline
193,chlorination,potassium,0.395,Outlet Constituent Density,kg/m3,santa_barbara,baseline
194,chlorination,potassium,0.04,Waste Constituent Density,kg/m3,santa_barbara,baseline
195,chlorination,potassium,0.122,Inlet Constituent Total Mass,kg,santa_barbara,baseline
196,chlorination,potassium,0.122,Outlet Constituent Total Mass,kg,santa_barbara,baseline
197,chlorination,potassium,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
198,chlorination,sodium,10.681,Inlet Constituent Density,kg/m3,santa_barbara,baseline
199,chlorination,sodium,10.682,Outlet Constituent Density,kg/m3,santa_barbara,baseline
200,chlorination,sodium,1.068,Waste Constituent Density,kg/m3,santa_barbara,baseline
201,chlorination,sodium,3.302,Inlet Constituent Total Mass,kg,santa_barbara,baseline
202,chlorination,sodium,3.302,Outlet Constituent Total Mass,kg,santa_barbara,baseline
203,chlorination,sodium,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
204,chlorination,strontium,0.001,Inlet Constituent Density,kg/m3,santa_barbara,baseline
205,chlorination,strontium,0.001,Outlet Constituent Density,kg/m3,santa_barbara,baseline
206,chlorination,strontium,0.0,Waste Constituent Density,kg/m3,santa_barbara,baseline
207,chlorination,strontium,0.0,Inlet Constituent Total Mass,kg,santa_barbara,baseline
208,chlorination,strontium,0.0,Outlet Constituent Total Mass,kg,santa_barbara,baseline
209,chlorination,strontium,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
210,chlorination,sulfate,2.68,Inlet Constituent Density,kg/m3,santa_barbara,baseline
211,chlorination,sulfate,2.681,Outlet Constituent Density,kg/m3,santa_barbara,baseline
212,chlorination,sulfate,0.268,Waste Constituent Density,kg/m3,santa_barbara,baseline
213,chlorination,sulfate,0.829,Inlet Constituent Total Mass,kg,santa_barbara,baseline
214,chlorination,sulfate,0.829,Outlet Constituent Total Mass,kg,santa_barbara,baseline
215,chlorination,sulfate,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
216,chlorination,tds,35.006,Inlet Constituent Density,kg/m3,santa_barbara,baseline
217,chlorination,tds,35.009,Outlet Constituent Density,kg/m3,santa_barbara,baseline
218,chlorination,tds,3.501,Waste Constituent Density,kg/m3,santa_barbara,baseline
219,chlorination,tds,10.822,Inlet Constituent Total Mass,kg,santa_barbara,baseline
220,chlorination,tds,10.822,Outlet Constituent Total Mass,kg,santa_barbara,baseline
221,chlorination,tds,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
222,static_mixer,Electricity Intensity,0.0,Electricity,kwh/m3,santa_barbara,baseline
226,static_mixer,Total Capital Investment (TCI),0.116,Cost,$MM,santa_barbara,baseline
227,static_mixer,Catalysts and Chemicals,0.0,Annual Cost,$MM/yr,santa_barbara,baseline
228,static_mixer,Electricity,0.0,Annual Cost,$MM/yr,santa_barbara,baseline
229,static_mixer,Other Variable Operating,0.0,Annual Cost,$MM/yr,santa_barbara,baseline
235,static_mixer,Fixed Operating,0.002,Annual Cost,$MM/yr,santa_barbara,baseline
238,static_mixer,Annual O&M Costs,0.002,Annual Cost,$MM/yr,santa_barbara,baseline
239,static_mixer,Inlet Water,0.309,Water Flow,m3/s,santa_barbara,baseline
240,static_mixer,Outlet Water,0.309,Water Flow,m3/s,santa_barbara,baseline
241,static_mixer,Waste Water,0.0,Water Flow,m3/s,santa_barbara,baseline
242,static_mixer,bromide,0.066,Inlet Constituent Density,kg/m3,santa_barbara,baseline
243,static_mixer,bromide,0.066,Outlet Constituent Density,kg/m3,santa_barbara,baseline
244,static_mixer,bromide,0.007,Waste Constituent Density,kg/m3,santa_barbara,baseline
245,static_mixer,bromide,0.02,Inlet Constituent Total Mass,kg,santa_barbara,baseline
246,static_mixer,bromide,0.02,Outlet Constituent Total Mass,kg,santa_barbara,baseline
247,static_mixer,bromide,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
248,static_mixer,calcium,0.41,Inlet Constituent Density,kg/m3,santa_barbara,baseline
249,static_mixer,calcium,0.41,Outlet Constituent Density,kg/m3,santa_barbara,baseline
250,static_mixer,calcium,0.041,Waste Constituent Density,kg/m3,santa_barbara,baseline
251,static_mixer,calcium,0.127,Inlet Constituent Total Mass,kg,santa_barbara,baseline
252,static_mixer,calcium,0.127,Outlet Constituent Total Mass,kg,santa_barbara,baseline
253,static_mixer,calcium,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
254,static_mixer,chloride,19.167,Inlet Constituent Density,kg/m3,santa_barbara,baseline
255,static_mixer,chloride,19.169,Outlet Constituent Density,kg/m3,santa_barbara,baseline
256,static_mixer,chloride,1.917,Waste Constituent Density,kg/m3,santa_barbara,baseline
257,static_mixer,chloride,5.925,Inlet Constituent Total Mass,kg,santa_barbara,baseline
258,static_mixer,chloride,5.925,Outlet Constituent Total Mass,kg,santa_barbara,baseline
259,static_mixer,chloride,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
260,static_mixer,magnesium,1.278,Inlet Constituent Density,kg/m3,santa_barbara,baseline
261,static_mixer,magnesium,1.278,Outlet Constituent Density,kg/m3,santa_barbara,baseline
262,static_mixer,magnesium,0.128,Waste Constituent Density,kg/m3,santa_barbara,baseline
263,static_mixer,magnesium,0.395,Inlet Constituent Total Mass,kg,santa_barbara,baseline
264,static_mixer,magnesium,0.395,Outlet Constituent Total Mass,kg,santa_barbara,baseline
265,static_mixer,magnesium,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
266,static_mixer,potassium,0.395,Inlet Constituent Density,kg/m3,santa_barbara,baseline
267,static_mixer,potassium,0.395,Outlet Constituent Density,kg/m3,santa_barbara,baseline
268,static_mixer,potassium,0.04,Waste Constituent Density,kg/m3,santa_barbara,baseline
269,static_mixer,potassium,0.122,Inlet Constituent Total Mass,kg,santa_barbara,baseline
270,static_mixer,potassium,0.122,Outlet Constituent Total Mass,kg,santa_barbara,baseline
271,static_mixer,potassium,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
272,static_mixer,sodium,10.682,Inlet Constituent Density,kg/m3,santa_barbara,baseline
273,static_mixer,sodium,10.683,Outlet Constituent Density,kg/m3,santa_barbara,baseline
274,static_mixer,sodium,1.068,Waste Constituent Density,kg/m3,santa_barbara,baseline
275,static_mixer,sodium,3.302,Inlet Constituent Total Mass,kg,santa_barbara,baseline
276,static_mixer,sodium,3.302,Outlet Constituent Total Mass,kg,santa_barbara,baseline
277,static_mixer,sodium,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
278,static_mixer,strontium,0.001,Inlet Constituent Density,kg/m3,santa_barbara,baseline
279,static_mixer,strontium,0.001,Outlet Constituent Density,kg/m3,santa_barbara,baseline
280,static_mixer,strontium,0.0,Waste Constituent Density,kg/m3,santa_barbara,baseline
281,static_mixer,strontium,0.0,Inlet Constituent Total Mass,kg,santa_barbara,baseline
282,static_mixer,strontium,0.0,Outlet Constituent Total Mass,kg,santa_barbara,baseline
283,static_mixer,strontium,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
284,static_mixer,sulfate,2.681,Inlet Constituent Density,kg/m3,santa_barbara,baseline
285,static_mixer,sulfate,2.681,Outlet Constituent Density,kg/m3,santa_barbara,baseline
286,static_mixer,sulfate,0.268,Waste Constituent Density,kg/m3,santa_barbara,baseline
287,static_mixer,sulfate,0.829,Inlet Constituent Total Mass,kg,santa_barbara,baseline
288,static_mixer,sulfate,0.829,Outlet Constituent Total Mass,kg,santa_barbara,baseline
289,static_mixer,sulfate,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
290,static_mixer,tds,35.009,Inlet Constituent Density,kg/m3,santa_barbara,baseline
291,static_mixer,tds,35.013,Outlet Constituent Density,kg/m3,santa_barbara,baseline
292,static_mixer,tds,3.501,Waste Constituent Density,kg/m3,santa_barbara,baseline
293,static_mixer,tds,10.822,Inlet Constituent Total Mass,kg,santa_barbara,baseline
294,static_mixer,tds,10.822,Outlet Constituent Total Mass,kg,santa_barbara,baseline
295,static_mixer,tds,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
296,holding_tank,Electricity Intensity,0.0,Electricity,kwh/m3,santa_barbara,baseline
300,holding_tank,Total Capital Investment (TCI),1.481,Cost,$MM,santa_barbara,baseline
301,holding_tank,Catalysts and Chemicals,0.0,Annual Cost,$MM/yr,santa_barbara,baseline
302,holding_tank,Electricity,0.0,Annual Cost,$MM/yr,santa_barbara,baseline
303,holding_tank,Other Variable Operating,0.0,Annual Cost,$MM/yr,santa_barbara,baseline
309,holding_tank,Fixed Operating,0.019,Annual Cost,$MM/yr,santa_barbara,baseline
312,holding_tank,Annual O&M Costs,0.019,Annual Cost,$MM/yr,santa_barbara,baseline
313,holding_tank,Inlet Water,0.309,Water Flow,m3/s,santa_barbara,baseline
314,holding_tank,Outlet Water,0.309,Water Flow,m3/s,santa_barbara,baseline
315,holding_tank,Waste Water,0.0,Water Flow,m3/s,santa_barbara,baseline
316,holding_tank,bromide,0.066,Inlet Constituent Density,kg/m3,santa_barbara,baseline
317,holding_tank,bromide,0.066,Outlet Constituent Density,kg/m3,santa_barbara,baseline
318,holding_tank,bromide,0.007,Waste Constituent Density,kg/m3,santa_barbara,baseline
319,holding_tank,bromide,0.02,Inlet Constituent Total Mass,kg,santa_barbara,baseline
320,holding_tank,bromide,0.02,Outlet Constituent Total Mass,kg,santa_barbara,baseline
321,holding_tank,bromide,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
322,holding_tank,calcium,0.41,Inlet Constituent Density,kg/m3,santa_barbara,baseline
323,holding_tank,calcium,0.41,Outlet Constituent Density,kg/m3,santa_barbara,baseline
324,holding_tank,calcium,0.041,Waste Constituent Density,kg/m3,santa_barbara,baseline
325,holding_tank,calcium,0.127,Inlet Constituent Total Mass,kg,santa_barbara,baseline
326,holding_tank,calcium,0.127,Outlet Constituent Total Mass,kg,santa_barbara,baseline
327,holding_tank,calcium,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
328,holding_tank,chloride,19.169,Inlet Constituent Density,kg/m3,santa_barbara,baseline
329,holding_tank,chloride,19.171,Outlet Constituent Density,kg/m3,santa_barbara,baseline
330,holding_tank,chloride,1.917,Waste Constituent Density,kg/m3,santa_barbara,baseline
331,holding_tank,chloride,5.925,Inlet Constituent Total Mass,kg,santa_barbara,baseline
332,holding_tank,chloride,5.925,Outlet Constituent Total Mass,kg,santa_barbara,baseline
333,holding_tank,chloride,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
334,holding_tank,magnesium,1.278,Inlet Constituent Density,kg/m3,santa_barbara,baseline
335,holding_tank,magnesium,1.279,Outlet Constituent Density,kg/m3,santa_barbara,baseline
336,holding_tank,magnesium,0.128,Waste Constituent Density,kg/m3,santa_barbara,baseline
337,holding_tank,magnesium,0.395,Inlet Constituent Total Mass,kg,santa_barbara,baseline
338,holding_tank,magnesium,0.395,Outlet Constituent Total Mass,kg,santa_barbara,baseline
339,holding_tank,magnesium,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
340,holding_tank,potassium,0.395,Inlet Constituent Density,kg/m3,santa_barbara,baseline
341,holding_tank,potassium,0.395,Outlet Constituent Density,kg/m3,santa_barbara,baseline
342,holding_tank,potassium,0.04,Waste Constituent Density,kg/m3,santa_barbara,baseline
343,holding_tank,potassium,0.122,Inlet Constituent Total Mass,kg,santa_barbara,baseline
344,holding_tank,potassium,0.122,Outlet Constituent Total Mass,kg,santa_barbara,baseline
345,holding_tank,potassium,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
346,holding_tank,sodium,10.683,Inlet Constituent Density,kg/m3,santa_barbara,baseline
347,holding_tank,sodium,10.684,Outlet Constituent Density,kg/m3,santa_barbara,baseline
348,holding_tank,sodium,1.068,Waste Constituent Density,kg/m3,santa_barbara,baseline
349,holding_tank,sodium,3.302,Inlet Constituent Total Mass,kg,santa_barbara,baseline
350,holding_tank,sodium,3.302,Outlet Constituent Total Mass,kg,santa_barbara,baseline
351,holding_tank,sodium,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
352,holding_tank,strontium,0.001,Inlet Constituent Density,kg/m3,santa_barbara,baseline
353,holding_tank,strontium,0.001,Outlet Constituent Density,kg/m3,santa_barbara,baseline
354,holding_tank,strontium,0.0,Waste Constituent Density,kg/m3,santa_barbara,baseline
355,holding_tank,strontium,0.0,Inlet Constituent Total Mass,kg,santa_barbara,baseline
356,holding_tank,strontium,0.0,Outlet Constituent Total Mass,kg,santa_barbara,baseline
357,holding_tank,strontium,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
358,holding_tank,sulfate,2.681,Inlet Constituent Density,kg/m3,santa_barbara,baseline
359,holding_tank,sulfate,2.681,Outlet Constituent Density,kg/m3,santa_barbara,baseline
360,holding_tank,sulfate,0.268,Waste Constituent Density,kg/m3,santa_barbara,baseline
361,holding_tank,sulfate,0.829,Inlet Constituent Total Mass,kg,santa_barbara,baseline
362,holding_tank,sulfate,0.829,Outlet Constituent Total Mass,kg,santa_barbara,baseline
363,holding_tank,sulfate,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
364,holding_tank,tds,35.013,Inlet Constituent Density,kg/m3,santa_barbara,baseline
365,holding_tank,tds,35.016,Outlet Constituent Density,kg/m3,santa_barbara,baseline
366,holding_tank,tds,3.501,Waste Constituent Density,kg/m3,santa_barbara,baseline
367,holding_tank,tds,10.822,Inlet Constituent Total Mass,kg,santa_barbara,baseline
368,holding_tank,tds,10.821,Outlet Constituent Total Mass,kg,santa_barbara,baseline
369,holding_tank,tds,0.0,Waste Constituent Total Mass,kg,santa_barbara,baseline
370,media_filtration,Electricity Intensity,0.0,Electricity,kwh/m3,santa_barbara,baseline
374,media_filtration,Total Capital Investment (TCI),2.687,Cost,$MM,santa_barbara,baseline
375,media_filtration,Catalysts and Chemicals,0.0,Annual Cost,$MM/yr,santa_barbara,baseline
376,media_filtration,Electricity,0.0,Annual Cost,$MM/yr,santa_barbara,baseline
377,media_filtration,Other Variable Operating,0.0,Annual Cost,$MM/yr,santa_barbara,baseline
383,media_filtration,Fixed Operating,0.036,Annual Cost,$MM/yr,santa_barbara,baseline
386,media_filtration,Annual O&M Costs,0.036,Annual Cost,$MM/yr,santa_barbara,baseline
387,media_filtration,Inlet Water,0.309,Water Flow,m3/s,santa_barbara,baseline
388,media_filtration,Outlet Water,0.309,Water Flow,m3/s,santa_barbara,baseline
389,media_filtration,Waste Water,0.0,Water Flow,m3/s,santa_barbara,baseline
390,media_filtration,bromide,0.066,Inlet Constituent Density,kg/m3,santa_barbara,baseline
391,media_filtration,bromide,0.066,Outlet Constituent Density,kg/m3,santa_barbara,baseline
392,media_filtration,bromide,0.007,Waste Constituent Density,kg/m3,santa_barbara,baseline
